n,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,model,split,ablation,removed_families,removed_features,removed_feature_count,numeric_feature_count,categorical_feature_count,train_rows,eval_rows
2431344,0.7206487440691239,0.8705909689072566,0.7035300619756633,0.7781954580293395,0.8068084763937968,0.8997484211467138,0.18405407376864516,560669,177107,502092,1191476,logistic_regression,val,full,none,none,0,24,7,11247540,2431344
2465669,0.7111347873538582,0.8680461450681121,0.6860704223863472,0.7664042683402786,0.8013861888269336,0.8942061563330319,0.18904875067412213,585019,177612,534634,1168404,logistic_regression,test,full,none,none,0,24,7,11247540,2465669
2431344,0.719991083121105,0.8705827337287113,0.7024300175723679,0.7775187384151235,0.8065673893465705,0.8995798930200158,0.18404023744337028,560933,176843,503955,1189613,logistic_regression,val,no_rolling_accuracy,rolling_accuracy,rolling_accuracy_10;rolling_accuracy_5,2,22,7,11247540,2431344
2465669,0.7105300833161304,0.8679682356660654,0.6851215298777831,0.765781526216703,0.8011686937593129,0.8940412075635793,0.18901213655562943,585144,177487,536250,1166788,logistic_regression,test,no_rolling_accuracy,rolling_accuracy,rolling_accuracy_10;rolling_accuracy_5,2,22,7,11247540,2465669
2431344,0.7218530162741266,0.8692352419799169,0.7070486688458922,0.7797981271455788,0.8064514287204829,0.8993644060544221,0.18345919748290165,557638,180138,496133,1197435,logistic_regression,val,no_temporal_activity,temporal_activity,daily_activity_count_prior;session_attempt_index;time_gap_sec,3,21,7,11247540,2431344
2465669,0.7133909701586061,0.8658413445827406,0.6923174937963803,0.7694172056686818,0.8008588315665658,0.893704507121522,0.18798020169388313,579943,182688,523995,1179043,logistic_regression,test,no_temporal_activity,temporal_activity,daily_activity_count_prior;session_attempt_index;time_gap_sec,3,21,7,11247540,2465669
2431344,0.7191047420685843,0.8698009632392708,0.701786405978384,0.776812672161004,0.8052551995231426,0.8989114387232303,0.18470584137115578,559868,177908,505045,1188523,logistic_regression,val,no_attempt_behavior,attempt_behavior,prev_is_hint_used;prev_total_attempt_cnt;prev_total_sec_taken;prev_used_hint_cnt;student_exercise_attempt_count_prior,5,19,7,11247540,2431344
2465669,0.7103913785670339,0.8667236242844143,0.6862236779214557,0.7659838454956382,0.7997949132677518,0.89340261598747,0.1893235415237398,582925,179706,534373,1168665,logistic_regression,test,no_attempt_behavior,attempt_behavior,prev_is_hint_used;prev_total_attempt_cnt;prev_total_sec_taken;prev_used_hint_cnt;student_exercise_attempt_count_prior,5,19,7,11247540,2465669
2431344,0.7208638514336104,0.8708657768838698,0.703593242196357,0.7783438858046888,0.8073582504573932,0.9001008721886208,0.18393898378892745,561085,176691,501985,1191583,logistic_regression,val,no_content_metadata,content_metadata,content_difficulty_ordinal;difficulty;learning_stage;level2_id;level3_id;level4_id,6,23,2,11247540,2431344
2465669,0.711375290032847,0.8684895417116104,0.6860052447449793,0.7665363509882264,0.8020735840605995,0.8946894162135601,0.18898002960162355,585723,176908,534745,1168293,logistic_regression,test,no_content_metadata,content_metadata,content_difficulty_ordinal;difficulty;learning_stage;level2_id;level3_id;level4_id,6,23,2,11247540,2465669
2431344,0.7203818135154877,0.8705897147937578,0.7030813052679313,0.7779203470443736,0.8067041408483729,0.8996723080936038,0.18411539547533867,560780,176996,502852,1190716,logistic_regression,val,no_difficulty_proxies,difficulty_proxies,exercise_incorrect_rate_train;topic_incorrect_rate_train,2,22,7,11247540,2431344
2465669,0.7108233100225537,0.8679609658629702,0.6856300329176448,0.7660962326158457,0.8012912421854101,0.8941225645466859,0.18911597893654808,585001,177630,535384,1167654,logistic_regression,test,no_difficulty_proxies,difficulty_proxies,exercise_incorrect_rate_train;topic_incorrect_rate_train,2,22,7,11247540,2465669
2431344,0.7176565718384564,0.8700994875684639,0.6990171047161968,0.7752316527729574,0.8046382627612676,0.8983695582294582,0.18544302136420657,561037,176739,509735,1183833,logistic_regression,val,no_topic_history,topic_history,topic_attempt_count_prior;topic_prev_accuracy,2,22,7,11247540,2431344
2465669,0.7074368051835019,0.8677408865873102,0.6800817127979528,0.7625353301463506,0.7990506525891081,0.8927577199213043,0.1908103692721685,586100,176531,544833,1158205,logistic_regression,test,no_topic_history,topic_history,topic_attempt_count_prior;topic_prev_accuracy,2,22,7,11247540,2465669
2431344,0.6832381596351648,0.8437173139299516,0.6692031261809387,0.7463951826224571,0.759574951411024,0.8697322794720392,0.20396503379137695,527846,209930,560227,1133341,logistic_regression,val,no_problem_identity,problem_identity,ucid;upid,2,24,5,11247540,2431344
2465669,0.6740697960675176,0.8419498626728755,0.6501645882241031,0.733731900312311,0.755528368845799,0.8641709550506392,0.2084074044017803,554778,207853,595783,1107255,logistic_regression,test,no_problem_identity,problem_identity,ucid;upid,2,24,5,11247540,2465669
2431344,0.664580577655815,0.8078131178712556,0.6803139879827678,0.7386016444454132,0.7098457708797414,0.8315631193496207,0.21770456073414715,463666,274110,541410,1152158,logistic_regression,val,behavior_history_only,problem_identity;content_metadata;difficulty_proxies;topic_history;problem_context,content_difficulty_ordinal;difficulty;exercise_incorrect_rate_train;exercise_problem_repeat_session;learning_stage;level;level2_id;level3_id;level4_id;problem_number;topic_attempt_count_prior;topic_incorrect_rate_train;topic_prev_accuracy;ucid;upid,15,16,0,11247540,2431344
2465669,0.6601287520749947,0.8040315029706255,0.6716303453005746,0.7318911939145786,0.7073646216387988,0.8257441494655744,0.21981923492302746,483847,278784,559226,1143812,logistic_regression,test,behavior_history_only,problem_identity;content_metadata;difficulty_proxies;topic_history;problem_context,content_difficulty_ordinal;difficulty;exercise_incorrect_rate_train;exercise_problem_repeat_session;learning_stage;level;level2_id;level3_id;level4_id;problem_number;topic_attempt_count_prior;topic_incorrect_rate_train;topic_prev_accuracy;ucid;upid,15,16,0,11247540,2465669
