n,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,model,split,source_file,epoch,train_loss,val_loss,mc_passes,checkpoint_metric,best_validation_score
2431344,0.6965563079514869,0.6965563079514869,1.0,0.8211413964710035,0.5,0.6965563079514869,0.2115015604415556,0,737776,0,1693568,majority,val,baseline_metrics.csv,,,,,,
2465669,0.6907001710286336,0.6907001710286336,1.0,0.8170581429685512,0.5,0.6907001710286336,0.21394024034875,0,762631,0,1703038,majority,test,baseline_metrics.csv,,,,,,
2431344,0.6597865213643154,0.7557484904087527,0.7558680844229461,0.7558082826849115,0.5975494810438557,0.741297789518274,0.3402134786356846,324054,413722,413454,1280114,previous_correct,val,baseline_metrics.csv,,,,,,
2465669,0.6563877795438073,0.7510289852351765,0.7517142894051689,0.751371481058683,0.5976138002804459,0.7360502027305614,0.3436122204561926,338237,424394,422840,1280198,previous_correct,test,baseline_metrics.csv,,,,,,
2431344,0.7205015004047144,0.8707641387944519,0.7030931146549769,0.7779972029013773,0.8068023591003822,0.8997268513961872,0.1840919585149786,561051,176725,502832,1190736,logistic_regression,val,baseline_metrics.csv,,,,,,
2465669,0.7107519298007965,0.8681801815741785,0.6852730238550168,0.7659586477391984,0.8013417369586704,0.8941568340433621,0.189129329102533,585433,177198,535992,1167046,logistic_regression,test,baseline_metrics.csv,,,,,,
2431344,0.7139763028185234,0.8303915792261097,0.7406540510921321,0.7829599284420861,0.7730886805122599,0.8826785992279457,0.1841762712299694,481574,256202,439220,1254348,random_forest,val,baseline_metrics.csv,,,,,,
2465669,0.7054981832516855,0.8303715036679612,0.7208799803645015,0.7717616381624358,0.770620987812976,0.8789652189092584,0.1878400415897237,511839,250792,475352,1227686,random_forest,test,baseline_metrics.csv,,,,,,
2431344,0.7223802966589672,0.7289938854269568,0.9573309131962816,0.8277033969020311,0.7107863934143659,0.8437174638185857,0.1982235001188775,135050,602726,72263,1621305,hist_gradient_boosting,val,baseline_metrics.csv,,,,,,
2465669,0.7186074043190712,0.7261172698076691,0.95148787049966,0.8236643512617733,0.7108919064871791,0.8397066768155936,0.1988552109841933,151428,611203,82618,1620420,hist_gradient_boosting,test,baseline_metrics.csv,,,,,,
2424690,0.6911551579789581,0.8233486943164362,0.7085189736604433,0.7616299815664653,0.7446833095838751,0.8584060252663491,0.2011619115105035,479485,256680,492173,1196352,gru,val,gru_sequence_metrics.csv,1,0.3541308514390242,0.587961733341217,,,
2424690,0.6726455753106583,0.8399541658055025,0.6546660546927052,0.7358250240549988,0.7515220041770146,0.865035934063865,0.2073410517422538,525537,210628,583105,1105420,gru,val,gru_sequence_metrics.csv,2,0.3470329444987861,0.6007562875747681,,,
2424690,0.6736824088852595,0.8417975237462556,0.6543977732044239,0.7363616583359796,0.7542952953600537,0.8672969817431531,0.2072302511247201,528504,207661,583558,1104967,gru,val,gru_sequence_metrics.csv,3,0.344219258031858,0.600013017654419,,,
2424690,0.6822043230268612,0.8383521472817758,0.6735162345834382,0.746948329980355,0.7559208975912338,0.868742107813036,0.2033980169007401,516885,219280,551276,1137249,gru,val,gru_sequence_metrics.csv,4,0.3426560880494902,0.5913975834846497,,,
2424690,0.670448181004582,0.8461159510071429,0.6438714262447994,0.7312677844938887,0.7571574107757655,0.8697232675903518,0.2093678989920755,538436,197729,601332,1087193,gru,val,gru_sequence_metrics.csv,5,0.3415756533936422,0.6053880453109741,,,
